16070528.18261643+0i,0.4268373711641329-0.221549951067666i,0.00127222019354588+0.006890301394584351i,-55.08665143967132+10.17896645150889i,0.941544393956899-0.3174133596740192i,1.373579240983581+0i,-0.1170648907823781+0.0009844704952725139i,6.308617502937119+0i
17225859.65398791+0i,0.4209868200742342-0.2363222455427946i,0.001454607576459962+0.007349640645991116i,-54.81783365670084+10.8576662064041i,0.9331641092078027-0.3385778919451423i,1.373582869992817+0i,-0.1170663682880816+0.001055241923454292i,6.308618198626483+0i
18464249.42895549+0i,0.414334706929681-0.2519038378749454i,0.001661983158008491+0.007834124529453928i,-54.51218615835805+11.57354757834775i,0.9236356730357991-0.3609020022986479i,1.373587039534064+0i,-0.1170680658582961+0.001131100403123571i,6.30861899793943+0i
19791668.67853563+0i,0.4067824687159303-0.2683001853561963i,0.001897419574859166+0.008343917071480515i,-54.1651802277257+12.32686106106321i,0.9128179045080991-0.3843935326310377i,1.373591830116091+0i,-0.1170700162681949+0.001212411463934052i,6.308619916310756+0i
21214517.84910636+0i,0.3982227895444623-0.2855071268099835i,0.002164262327338851+0.008878882008250042i,-53.77188497590625+13.11741518597197i,0.9005570851343308-0.4090465492159714i,1.373597334238268+0i,-0.1170722571736649+0.001299566871075763i,6.308620971474181+0i
22739657.52357935+0i,0.3885398505344251-0.3035086677507216i,0.002466121988969044+0.009438513707376972i,-53.32697882346419+13.94447475463823i,0.8866873167928253-0.4348381703141832i,1.373603658176117+0i,-0.117074831837935+0.001392986501445692i,6.308622183805188+0i
24374441.50122228+0i,0.3776099620035429-0.3222745185762572i,0.002806854497597177+0.01002186038831239i,-52.82477854800258+14.80664772361038i,0.8710314272731996-0.4617250400389458i,1.373610924032772+0i,-0.1170777899662568+0.001493120352437215i,6.308623576714569+0i
26126752.25563337+0i,0.3653026831140382-0.3417574237614671i,0.003190526250240275+0.0106274408248657i,-52.25929072905133+15.70176248619944i,0.8534025740450364-0.489639502863238i,1.373619272095789+0i,-0.117081188664897+0.001600450692259988i,6.308625177099035+0i
28005038.9418364+0i,0.3514825430074242-0.3618903508241539i,0.00362136044666845+0.01125315667358387i,-51.62429082983181+16.62673871104521i,0.8336067095938626-0.5184855772765749i,1.373628863544802+0i,-0.1170850935425697+0.001715494361419944i,6.308627015862086+0i
30018358.135756+0i,0.3360114796130926-0.3825836467462355i,0.004103661059702319+0.01189620378477113i,-50.9134352542974+17.57745668521987i,0.811446074746502-0.5481348828364406i,1.373639883562198+0i,-0.1170895799757533+0.001838805235347178i,6.308629128510771+0i
32176417.50250748+0i,0.3187521038266508-0.4037223160525976i,0.004641711074826992+0.01255298730314298i,-50.12041132780424+18.54863224706463i,0.7867238742487235-0.5784227414933946i,1.373652544906622+0i,-0.1170947345621434+0.001970976858765401i,6.308631555840925+0i
34489622.60405771+0i,0.2995718730734049-0.4251636268633735i,0.005239642379963548+0.01321904698970343i,-49.23912906170452+19.5337067884305i,0.7592502549378626-0.6091447487156391i,1.373667092018373+0i,-0.1171006567901028+0.002112645262965126i,6.308634344723664+0i
36969127.07195041+0i,0.2783482146689753-0.4467353048120387i,0.005901276045545432+0.01388900086665011i,-48.26395655869114+20.52476426770311i,0.7288496443962604-0.6400541866817188i,1.373683805735591+0i,-0.1171074609559913+0.002264491977647542i,6.308637549013772+0i
39626886.38701493+0i,0.254974571814041-0.4682346229902788i,0.006629933841670277+0.01455651679184561i,-47.1899978108238+21.51248939280697i,0.6953694111772848-0.6708607209495306i,1.373703008711845+0i,-0.1171152783665589+0.002427247249341518i,6.308641230585791+0i
42475715.52536916+0i,0.2293672514388103-0.4894287293952068i,0.007428224757698755+0.01521432260794545i,-46.01340734050466+22.48618266410593i,0.6586896735932584-0.7012308697294831i,1.373725071639669+0i,-0.1171242598679378+0.002601693479175069i,6.308645460531821+0i
45529350.74866968+0i,0.2014728350177566-0.5100565595517203i,0.008297813971231628+0.01585426570444884i,-44.73173070850549+23.43384825186141i,0.6187339148961752-0.7307907437665479i,1.373750420399386+0i,-0.1171345787501519+0.00278866889277098i,6.30865032053206+0i
48802515.83654451+0i,0.1712757779294969-0.5298326476478318i,0.009239185938965857+0.0164674317605422i,-43.34425368517378+24.34236910530591i,0.575479868527716-0.7591315056549881i,1.373779544270728+0i,-0.1171464340821038+0.002989071455690167i,6.308655904434236+0i
52310993.08056284+0i,0.1388056838656606-0.5484530624067981i,0.01025141761740935+0.01704432972083951i,-41.85233649098758+25.1977796877233i,0.5289699379106703-0.78581787262815i,1.373813005364635+0i,-0.1171600545409727+0.003203863047603637i,6.308662320063643+0i
56071699.38205481+0i,0.104143619403321-0.565603546500058i,0.01133198160568182+0.01757514546035241i,-40.25970393510285+25.98563995836357i,0.4793202413770246-0.8103997757029818i,1.373851449456498+0i,-0.1171757028084566+0.003434073908868888i,6.308669691307558+0i
60102767.82070408+0i,0.06742675713533908-0.580969731993066i,0.01247660139434234+0.01805006016331233i,-38.57265875544092+26.69150474251454i,0.4267272629344947-0.8324269925395398i,1.373895618427885+0i,-0.1171936806176002+0.003680807372340848i,6.308678160505338+0i
64423635.087214+0i,0.0288506324675637-0.5942490533025063i,0.01367918100659793+0.01845962161519734i,-36.80018531290655+27.3014710976204i,0.371471084867214-0.851466211826039i,1.373946364555358+0i,-0.1172143345453895+0.003945244893356768i,6.308687891198161+0i
